# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9
93.482262,111.540665,117.699463,112.138893,102.658882,106.656113,103.720512,114.912514,91.697861,99.687439
83.550499,94.835884,91.533363,87.816315,85.390144,88.922089,87.213318,75.848412,83.610962,88.631271
96.917160,88.062126,87.044487,89.092552,92.952484,90.581924,92.731956,93.514641,97.393211,93.622108
66.265884,75.604713,72.655876,70.609589,71.955528,74.908218,74.844894,80.161926,76.404381,79.155945
83.981529,83.125092,79.866142,79.948669,82.241562,82.434982,82.893845,76.953873,85.537590,84.991730
83.781960,83.004944,81.213722,82.432838,84.556870,84.638756,84.272911,85.743645,87.396667,86.082520
81.367706,83.293457,82.444313,83.016747,83.565041,84.266998,83.165359,85.809708,84.405815,84.236404
76.990341,80.660179,80.007713,79.972397,79.560600,80.711311,79.227585,80.755699,79.205559,79.917152
66.850624,72.572403,72.061584,71.528908,70.325050,72.028244,70.081413,71.559898,69.094986,70.645241
72.036522,72.228004,70.662399,71.057869,71.801949,72.094353,71.441978,68.670578,72.590797,72.239059
78.264336,74.803680,74.360359,75.775856,77.050980,76.172211,76.053368,76.134270,77.977859,76.115128
90.388878,82.793663,84.259254,85.860222,86.315834,83.961052,84.663307,83.825684,85.245529,82.507805
73.576385,79.191940,80.677963,79.773552,77.688400,79.027832,77.611481,84.098190,75.384392,77.125984
79.785355,81.819450,80.615410,80.030762,79.660164,80.374977,79.673012,75.672920,79.177673,79.961418
99.285957,83.904312,87.956383,89.865257,90.346481,85.330254,88.442902,87.928864,88.307747,83.681778
75.478767,82.232384,81.877899,78.913521,78.068810,79.826012,80.662918,83.654099,78.831161,81.887787
61.015991,72.368080,70.386513,67.772171,66.859283,70.252121,69.000977,71.628975,67.834671,71.719185
67.627701,70.867264,67.149361,66.595871,68.049347,69.477257,68.903015,62.962513,70.690575,71.514030
49.244503,55.540073,53.803329,53.697903,53.914700,55.983284,54.059196,57.290230,55.045624,56.245396
60.567913,58.684319,56.599442,57.466949,59.368347,59.150864,59.129364,56.162640,61.650631,60.424683
41.704636,47.434105,46.729641,46.661160,46.402935,48.155033,46.351208,51.509731,46.742352,47.818478
41.045074,44.885399,43.199734,42.955910,42.975006,44.313358,42.950897,41.563011,43.325317,44.199146
35.996162,39.038067,37.738445,38.010548,38.224949,39.307827,37.856083,38.387787,38.662975,39.001236
55.347137,42.319954,44.843399,46.681332,47.786690,43.681450,46.237736,44.892273,47.067123,42.929512
40.395081,42.460449,41.847343,41.001091,41.331318,41.917984,42.268715,43.886887,42.458038,43.169235
36.509010,41.811813,40.562119,39.778954,39.676762,41.326672,40.310520,42.208263,40.416603,41.854210
53.747902,48.419617,47.750294,48.524956,49.849590,48.406391,49.354580,45.017754,50.738270,48.921524
58.578926,53.791779,53.908730,55.285988,56.396889,55.041901,55.349834,55.223980,56.903091,54.798866
40.026154,47.267799,48.301365,47.226654,45.224358,47.093807,45.392960,52.503193,43.359581,45.526897
